frame,xpx,ypx,xcm,ycm
337,969,353,1.0909090909090908,7.474747474747475
338,964,347,0.6363636363636364,8.080808080808081
339,959,349,0.18181818181818182,7.878787878787879
340,945,350,-0.7017543859649127,7.878787878787879
341,932,358,-1.9130434782608692,7.171717171717172
342,940,383,-1.304347826086957,4.6
343,923,396,-2.8695652173913047,3.4
344,891,379,-5.565217391304348,5.3
345,888,382,-5.826086956521739,5.0
346,919,413,-3.275862068965517,1.7
347,950,436,-0.6896551724137936,-0.37037037037037024
348,961,439,0,-0.7339449541284395
349,970,430,0.7272727272727273,0
350,975,421,1.2727272727272727,0.6060606060606061
351,979,414,1.6363636363636365,1.3
352,979,405,1.7272727272727273,2.2
353,975,396,1.3636363636363635,3.1313131313131315
354,977,394,1.5454545454545454,3.3
355,982,396,2.0,3.1
356,965,377,0.5454545454545454,5.05050505050505
357,927,332,-2.192982456140351,9.797979797979798
358,921,313,-2.654867256637168,11.382978723404255
359,945,341,-0.7017543859649127,8.787878787878787
360,949,338,-0.35087719298245545,9.090909090909092
361,942,317,-0.7964601769911503,10.851063829787234
362,954,318,0,10.638297872340425
363,959,320,0.36363636363636365,10.425531914893616
364,951,311,0,11.382978723404255
365,945,308,-0.526315789473685,11.789473684210526
366,940,306,-0.9649122807017552,12.02127659574468
367,937,307,-1.2280701754385959,11.914893617021276
368,936,314,-1.327433628318584,11.170212765957446
369,935,322,-1.4912280701754383,10.319148936170214
370,934,329,-1.578947368421053,10
371,929,332,-2.0175438596491224,9.797979797979798
372,925,338,-2.4561403508771926,9.2
373,927,350,-2.280701754385965,7.97979797979798
374,930,361,-2.086956521739131,6.8686868686868685
375,932,370,-1.9298245614035086,5.959595959595959
376,938,380,-1.4782608695652169,4.9
377,940,386,-1.304347826086957,4.3
378,944,393,-1.0434782608695645,3.5353535353535355
379,949,399,-0.6086956521739122,2.9292929292929295
380,956,406,0,2.121212121212121
381,960,408,0,1.9191919191919191
382,964,410,0.2727272727272727,1.7171717171717171
383,966,412,0.45454545454545453,1.5151515151515151
384,969,413,0.7272727272727273,1.4141414141414141
385,973,414,1.0909090909090908,1.3131313131313131
386,976,414,1.3636363636363635,1.3
387,977,414,1.4545454545454546,1.3
388,978,412,1.5454545454545454,1.5
389,975,410,1.2727272727272727,1.7171717171717171
390,972,407,1.0909090909090908,2.0202020202020203
391,969,406,0.8181818181818182,2.121212121212121
392,966,404,0.5454545454545454,2.323232323232323
393,964,403,0.36363636363636365,2.4242424242424243
394,962,406,0.18181818181818182,2.121212121212121
395,960,407,0,2.0202020202020203
396,957,407,0,2.0202020202020203
397,953,409,-0.3448275862068968,1.9
398,950,411,-0.6034482758620694,1.7171717171717171
399,948,415,-0.7758620689655178,1.3131313131313131
400,946,417,-0.9565217391304355,1.1111111111111112
401,945,419,-1.0434782608695645,0.9090909090909091
402,944,422,-1.1304347826086953,0.6060606060606061
403,944,422,-1.1304347826086953,0.6060606060606061
404,944,423,-1.1304347826086953,0.5050505050505051
405,945,423,-1.0434782608695645,0.5050505050505051
406,947,423,-0.8695652173913047,0.5050505050505051
407,951,423,-0.5217391304347831,0.5
408,952,420,-0.43478260869565233,0.8
409,955,417,-0.17391304347826164,1.0101010101010102
410,958,416,0,1.1111111111111112
411,959,413,0,1.4141414141414141
412,961,411,0,1.6161616161616161
413,963,410,0.18181818181818182,1.7171717171717171
414,964,410,0.2727272727272727,1.7171717171717171
415,965,408,0.36363636363636365,1.9191919191919191
416,965,407,0.45454545454545453,2.0202020202020203
417,968,406,0.7272727272727273,2.121212121212121
418,972,408,1.0,1.9191919191919191
419,973,408,1.0909090909090908,1.9191919191919191
420,976,409,1.3636363636363635,1.8
421,979,412,1.6363636363636365,1.5
422,979,413,1.6363636363636365,1.4
423,977,412,1.4545454545454546,1.5
424,973,411,1.0909090909090908,1.6161616161616161
425,972,412,1.0,1.5151515151515151
426,974,417,1.1818181818181819,1.0101010101010102
427,976,423,1.3636363636363635,0.4
428,973,428,1.0,0
429,961,431,0,0
430,944,435,-1.2068965517241388,-0.27777777777777857
431,932,443,-2.2608695652173916,-0.9259259259259256
432,915,444,-3.7391304347826084,-0.9259259259259256
433,903,444,-4.782608695652174,-0.8411214953271031
434,901,453,-4.956521739130435,-1.6822429906542062
435,902,459,-4.913793103448276,-2.2429906542056077
436,905,465,-4.655172413793103,-2.803738317757009
437,914,472,-3.913043478260869,-3.518518518518518
438,922,471,-3.217391304347826,-3.4579439252336446
439,930,465,-2.5,-2.962962962962963
440,945,464,-1.2068965517241388,-2.962962962962963
441,960,459,0,-2.568807339449541
442,973,446,0.990990990990991,-1.3888888888888893
443,999,444,3.3333333333333335,-1.2962962962962958
444,1021,447,5.315315315315315,-1.5887850467289724
445,1031,436,6.2727272727272725,-0.5607476635514015
446,1035,427,6.636363636363637,0
447,1038,417,7.0,0.8080808080808081
448,1049,415,8.0,1.0
449,1066,425,9.45945945945946,0
450,1072,427,10,0
451,1069,422,9.818181818181818,0.3
452,1067,423,9.636363636363637,0.2
453,1063,425,9.18918918918919,0
454,1050,421,8.090909090909092,0.4
455,1034,418,6.636363636363637,0.7070707070707071
456,1023,421,5.636363636363637,0.5
457,1008,421,4.2727272727272725,0.5
458,988,417,2.4545454545454546,0.9090909090909091
459,965,412,0.36363636363636365,1.5151515151515151
460,952,409,-0.431034482758621,1.9
461,945,413,-1.0344827586206904,1.5151515151515151
462,936,409,-1.8103448275862064,2.0
463,929,400,-2.3478260869565215,2.9292929292929295
464,928,398,-2.4347826086956523,3.1313131313131315
465,931,397,-2.1739130434782608,3.2323232323232323
466,937,395,-1.6521739130434785,3.4
467,943,392,-1.1304347826086953,3.6363636363636362
468,952,389,-0.2608695652173907,3.9
469,962,391,0.1834862385321101,3.6363636363636362
470,971,395,1.0,3.2323232323232323
471,975,397,1.3636363636363635,3.0303030303030303
472,972,396,1.0909090909090908,3.1313131313131315
473,966,397,0.5454545454545454,3.0303030303030303
474,964,403,0.36363636363636365,2.4242424242424243
475,962,410,0.09090909090909091,1.7171717171717171
476,959,412,0,1.5151515151515151
477,954,414,-0.2586206896551726,1.4
478,950,417,-0.6086956521739122,1.1111111111111112
479,946,419,-0.9565217391304355,0.9090909090909091
480,944,420,-1.1304347826086953,0.8080808080808081
481,939,419,-1.5652173913043477,1.0
482,939,418,-1.5652173913043477,1.1
483,941,419,-1.3913043478260878,0.9090909090909091
484,944,418,-1.1304347826086953,1.0101010101010102
485,949,420,-0.695652173913043,0.8080808080808081
486,956,422,-0.08695652173913082,0.5050505050505051
487,962,423,0.09090909090909091,0.40404040404040403
488,969,426,0.6363636363636364,0.10101010101010101
489,975,426,1.1818181818181819,0.10101010101010101
490,981,425,1.8018018018018018,0.2
491,985,425,2.1621621621621623,0.2
492,989,424,2.5225225225225225,0.20202020202020202
493,993,422,2.909090909090909,0.40404040404040403
494,997,422,3.272727272727273,0.40404040404040403
495,998,420,3.3636363636363638,0.6060606060606061
496,997,418,3.272727272727273,0.8080808080808081
497,996,417,3.1818181818181817,0.9090909090909091
498,996,416,3.1818181818181817,1.0101010101010102
499,996,418,3.1818181818181817,0.8080808080808081
500,995,419,3.090909090909091,0.7070707070707071
501,994,420,3.0,0.6060606060606061
502,993,422,2.909090909090909,0.40404040404040403
503,992,424,2.7927927927927927,0.20202020202020202
504,992,425,2.7927927927927927,0.10101010101010101
505,988,425,2.4324324324324325,0.10101010101010101
506,984,426,2.0,0.1
507,980,427,1.6363636363636365,0
508,975,426,1.1818181818181819,0.10101010101010101
509,974,428,1.0909090909090908,0
510,973,428,1.0,0
511,973,428,1.0,0
512,976,429,1.2727272727272727,0
513,977,429,1.3636363636363635,0
514,975,427,1.1818181818181819,0
515,971,427,0.8181818181818182,0
516,971,427,0.8181818181818182,0
517,971,427,0.8181818181818182,0
518,972,427,0.9090909090909091,0
519,971,427,0.8181818181818182,0
520,969,427,0.6363636363636364,0
521,969,426,0.6363636363636364,0.10101010101010101
522,970,424,0.8108108108108109,0.30303030303030304
523,972,424,0.990990990990991,0.30303030303030304
524,973,422,1.0909090909090908,0.5050505050505051
525,973,420,1.0909090909090908,0.7070707070707071
526,975,420,1.2727272727272727,0.7070707070707071
527,978,419,1.5454545454545454,0.8
528,980,419,1.7272727272727273,0.8
529,978,416,1.5454545454545454,1.1
530,978,414,1.5454545454545454,1.3
531,978,412,1.5454545454545454,1.5
532,978,410,1.5454545454545454,1.7
533,977,408,1.4545454545454546,1.9
534,975,406,1.3636363636363635,2.121212121212121
535,973,403,1.1818181818181819,2.4242424242424243
536,971,400,1.0,2.727272727272727
537,972,399,1.0909090909090908,2.8282828282828283
